Quarter,Sector,Year,Hydroelectric Power,Geothermal Energy,Solar Energy,Wind Energy,Wood Energy,Waste Energy,"Fuel Ethanol, Excluding Denaturant",Biomass Losses and Co-products,Total Renewable Energy,Renewable Diesel Fuel,Other Biofuels,Conventional Hydroelectric Power,Biodiesel
1,Commercial,1973,0.0,0.0,0.0,0.0,1.6549999999999998,0.0,0.0,0.0,1.6549999999999998,0.0,0.0,0.0,0.0
1,Commercial,1974,0.0,0.0,0.0,0.0,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0
1,Commercial,1975,0.0,0.0,0.0,0.0,1.989,0.0,0.0,0.0,1.989,0.0,0.0,0.0,0.0
1,Commercial,1976,0.0,0.0,0.0,0.0,2.263,0.0,0.0,0.0,2.263,0.0,0.0,0.0,0.0
1,Commercial,1977,0.0,0.0,0.0,0.0,2.537,0.0,0.0,0.0,2.537,0.0,0.0,0.0,0.0
1,Commercial,1978,0.0,0.0,0.0,0.0,2.9179999999999997,0.0,0.0,0.0,2.9179999999999997,0.0,0.0,0.0,0.0
1,Commercial,1979,0.0,0.0,0.0,0.0,3.406,0.0,0.0,0.0,3.406,0.0,0.0,0.0,0.0
1,Commercial,1980,0.0,0.0,0.0,0.0,5.2219999999999995,0.0,0.0,0.0,5.2219999999999995,0.0,0.0,0.0,0.0
1,Commercial,1981,0.0,0.0,0.0,0.0,5.179,0.0,0.012,0.0,5.191,0.0,0.0,0.0,0.0
1,Commercial,1982,0.0,0.0,0.0,0.0,5.424,0.0,0.032,0.0,5.458,0.0,0.0,0.0,0.0
1,Commercial,1983,0.0,0.0,0.0,0.0,5.424,0.0,0.067,0.0,5.493,0.0,0.0,0.0,0.0
1,Commercial,1984,0.0,0.0,0.0,0.0,5.469,0.0,0.088,0.0,5.557,0.0,0.0,0.0,0.0
1,Commercial,1985,0.0,0.0,0.0,0.0,5.917,0.0,0.093,0.0,6.01,0.0,0.0,0.0,0.0
1,Commercial,1986,0.0,0.0,0.0,0.0,6.657,0.0,0.11399999999999999,0.0,6.773000000000001,0.0,0.0,0.0,0.0
1,Commercial,1987,0.0,0.0,0.0,0.0,7.151,0.0,0.134,0.0,7.284,0.0,0.0,0.0,0.0
1,Commercial,1988,0.0,0.0,0.0,0.0,7.9559999999999995,0.0,0.133,0.0,8.09,0.0,0.0,0.0,0.0
1,Commercial,1989,0.053,0.616,0.01,0.0,18.894,3.2640000000000002,0.125,0.0,22.96,0.0,0.0,0.0,0.0
1,Commercial,1990,0.125,0.691,0.01,0.0,16.266,6.797,0.122,0.0,24.012,0.0,0.0,0.0,0.0
1,Commercial,1991,0.12,0.74,0.012,0.0,16.881,6.465,0.11,0.0,24.326,0.0,0.0,0.0,0.0
1,Commercial,1992,0.107,0.796,0.013000000000000001,0.0,17.907,8.383,0.11499999999999999,0.0,27.32,0.0,0.0,0.0,0.0
1,Commercial,1993,0.088,0.839,0.014,0.0,18.709,9.393,0.048,0.0,29.09,0.0,0.0,0.0,0.0
1,Commercial,1994,0.08,1.036,0.017,0.0,17.744,7.5920000000000005,0.048,0.0,26.514,0.0,0.0,0.0,0.0
1,Commercial,1995,0.10200000000000001,1.109,0.019,0.0,17.791999999999998,8.842,0.034,0.0,27.898,0.0,0.0,0.0,0.0
1,Commercial,1996,0.119,1.318,0.020999999999999998,0.0,18.785,11.803,0.049,0.0,32.095,0.0,0.0,0.0,0.0
1,Commercial,1997,0.11399999999999999,1.405,0.024,0.0,18.09,13.154,0.069,0.0,32.857,0.0,0.0,0.0,0.0
1,Commercial,1998,0.11499999999999999,1.751,0.026,0.0,15.806000000000001,12.402000000000001,0.074,0.0,30.173000000000002,0.0,0.0,0.0,0.0
1,Commercial,1999,0.11,1.652,0.031,0.0,16.41,12.79,0.05,0.0,31.044999999999998,0.0,0.0,0.0,0.0
1,Commercial,2000,0.092,1.8900000000000001,0.036,0.0,17.75,12.417,0.09,0.0,32.275,0.0,0.0,0.0,0.0
1,Commercial,2001,0.063,2.038,0.043,0.0,16.5,5.806,0.089,0.0,24.538,0.0,0.0,0.0,0.0
1,Commercial,2002,0.01,2.157,0.05,0.0,16.947,5.458,0.096,0.0,24.718,0.0,0.0,0.0,0.0
1,Commercial,2003,0.059,2.712,0.06,0.0,17.625999999999998,6.976,0.188,0.0,27.621000000000002,0.0,0.0,0.0,0.0
1,Commercial,2004,0.089,2.983,0.072,0.0,17.566,8.145,0.181,0.0,29.037,0.0,0.0,0.0,0.0
1,Commercial,2005,0.103,3.3529999999999998,0.11,0.0,17.351,8.376999999999999,0.198,0.0,29.493000000000002,0.0,0.0,0.0,0.0
1,Commercial,2006,0.123,3.452,0.16,0.0,16.061,8.777000000000001,0.243,0.0,28.816000000000003,0.0,0.0,0.0,0.0
1,Commercial,2007,0.104,3.551,0.225,0.0,17.325,7.444,0.448,0.0,29.098,0.0,0.0,0.0,0.0
1,Commercial,2008,0.067,3.681,0.363,0.0,18.13,8.123000000000001,0.44999999999999996,0.0,30.813,0.0,0.0,0.0,0.0
1,Commercial,2009,0.087,4.117,0.487,0.0,17.922,8.605,0.604,0.0,31.823,0.0,0.0,0.0,0.0
1,Commercial,2010,0.067,4.561,0.744,0.012,17.653,8.574,0.76,0.0,32.373,0.0,0.0,0.0,0.0
1,Commercial,2011,0.022,4.857,1.256,0.037,17.067,9.866,0.694,0.0,33.801,0.0,0.0,0.0,0.0
1,Commercial,2012,0.026000000000000002,4.899,2.077,0.053000000000000005,15.072,11.095,0.614,0.0,33.835,0.0,0.0,0.0,0.0
1,Commercial,2013,0.041999999999999996,4.857,2.8609999999999998,0.056,17.306,11.209,0.62,0.0,36.953,0.0,0.0,0.0,0.0
1,Commercial,2014,0.039,4.857,3.817,0.087,18.930999999999997,11.727,0.852,0.0,40.313,0.0,0.0,0.0,0.0
1,Commercial,2015,0.028999999999999998,4.857,4.225,0.10300000000000001,19.735,11.132,6.053,0.0,46.135,0.0,0.0,0.0,0.0
1,Commercial,2016,0.208,4.899,4.688,0.123,20.846,11.698,6.193,0.0,48.656,0.0,0.0,0.0,0.0
1,Commercial,2017,0.223,4.857,5.494,0.132,20.803,12.085,5.893,0.0,49.489000000000004,0.0,0.0,0.0,0.0
1,Commercial,2018,0.203,4.857,7.096,0.176,20.979,11.683,6.064,0.0,51.056,0.0,0.0,0.0,0.0
1,Commercial,2019,0.17099999999999999,5.291,8.025,0.172,21.055999999999997,10.44,6.126,0.0,51.278000000000006,0.0,0.0,0.0,0.0
1,Commercial,2020,0.179,5.306,9.436,0.166,20.991,9.708,6.733,0.0,52.522999999999996,0.0,0.0,0.0,0.0
1,Commercial,2021,0.236,5.201,10.891,0.156,20.403,9.641,5.879,0.0,52.405,0.0,0.0,0.0,0.0
1,Commercial,2022,0.238,4.857,12.907,0.183,20.473,18.203,7.443,0.0,64.306,0.0,0.0,0.0,0.0
1,Commercial,2023,0.14700000000000002,4.857,14.068000000000001,0.18,20.23,17.265,7.641,0.0,64.454,0.0,0.0,0.0,0.0
1,Commercial,2024,0.073,1.669,4.267,0.036,7.053,6.233,2.441,0.0,21.773,0.0,0.0,0.0,0.0
1,Electric Power,1973,0.0,1.4020000000000001,0.0,0.0,0.397,0.477,0.0,0.0,256.6,0.0,0.0,254.324,0.0
1,Electric Power,1974,0.0,2.032,0.0,0.0,0.186,0.44199999999999995,0.0,0.0,285.619,0.0,0.0,282.959,0.0
1,Electric Power,1975,0.0,2.1029999999999998,0.0,0.0,0.025,0.377,0.0,0.0,264.776,0.0,0.0,262.271,0.0
1,Electric Power,1976,0.0,3.299,0.0,0.0,0.067,0.41300000000000003,0.0,0.0,267.026,0.0,0.0,263.246,0.0
1,Electric Power,1977,0.0,3.026,0.0,0.0,1.141,0.422,0.0,0.0,194.47,0.0,0.0,189.881,0.0
1,Electric Power,1978,0.0,2.812,0.0,0.0,0.747,0.34299999999999997,0.0,0.0,249.247,0.0,0.0,245.346,0.0
1,Electric Power,1979,0.0,2.9779999999999998,0.0,0.0,0.6839999999999999,0.5569999999999999,0.0,0.0,250.626,0.0,0.0,246.406,0.0
1,Electric Power,1980,0.0,3.476,0.0,0.0,0.9530000000000001,0.538,0.0,0.0,247.17899999999997,0.0,0.0,242.20999999999998,0.0
1,Electric Power,1981,0.0,4.96,0.0,0.0,0.846,0.309,0.0,0.0,224.517,0.0,0.0,218.402,0.0
1,Electric Power,1982,0.0,3.541,0.0,0.0,0.525,0.344,0.0,0.0,289.209,0.0,0.0,284.801,0.0
1,Electric Power,1983,0.0,4.382,0.0,0.002,0.42000000000000004,0.328,0.0,0.0,303.63599999999997,0.0,0.0,298.504,0.0
1,Electric Power,1984,0.0,5.933999999999999,0.001,0.002,1.014,0.745,0.0,0.0,308.19599999999997,0.0,0.0,300.502,0.0
1,Electric Power,1985,0.0,7.688,0.002,0.008,2.487,1.5090000000000001,0.0,0.0,278.122,0.0,0.0,266.427,0.0
1,Electric Power,1986,0.0,9.462,0.007,0.004,1.2610000000000001,1.7240000000000002,0.0,0.0,261.756,0.0,0.0,249.29699999999997,0.0
1,Electric Power,1987,0.0,8.982,0.005,0.0,1.875,1.848,0.0,0.0,251.164,0.0,0.0,238.452,0.0
1,Electric Power,1988,0.0,8.813,0.009000000000000001,0.002,2.722,1.2530000000000001,0.0,0.0,219.745,0.0,0.0,206.946,0.0
1,Electric Power,1989,0.0,12.952,0.114,2.133,26.328,19.576999999999998,0.0,0.0,276.606,0.0,0.0,215.502,0.0
1,Electric Power,1990,0.0,13.572,0.19899999999999998,2.654,35.092,46.022999999999996,0.0,0.0,362.73400000000004,0.0,0.0,265.192,0.0
1,Electric Power,1991,0.0,13.605,0.162,1.908,31.356,55.794,0.0,0.0,362.874,0.0,0.0,260.05,0.0
1,Electric Power,1992,0.0,13.924,0.11599999999999999,3.391,34.724,67.736,0.0,0.0,338.131,0.0,0.0,218.24,0.0
1,Electric Power,1993,0.0,14.696,0.211,2.7859999999999996,42.501,74.479,0.0,0.0,376.554,0.0,0.0,241.883,0.0
1,Electric Power,1994,0.0,13.620000000000001,0.33,2.208,45.887,61.911,0.0,0.0,341.72700000000003,0.0,0.0,217.772,0.0
1,Electric Power,1995,0.0,9.913,0.109,0.115,24.671,65.164,0.0,0.0,363.078,0.0,0.0,263.106,0.0
1,Electric Power,1996,0.0,9.837,0.311,1.525,31.84,66.864,0.0,0.0,433.602,0.0,0.0,323.224,0.0
1,Electric Power,1997,0.0,10.674,0.31000000000000005,1.29,33.381,70.559,0.0,0.0,450.07,0.0,0.0,333.856,0.0
1,Electric Power,1998,0.0,13.324,0.223,0.108,35.469,70.481,0.0,0.0,423.175,0.0,0.0,303.571,0.0
1,Electric Power,1999,0.0,12.434999999999999,0.20500000000000002,3.7279999999999998,31.717,74.771,0.0,0.0,426.238,0.0,0.0,303.384,0.0
1,Electric Power,2000,0.0,12.394,0.196,5.805,31.386,83.676,0.0,0.0,383.84000000000003,0.0,0.0,250.385,0.0
1,Electric Power,2001,0.0,11.915,0.172,4.615,31.494,50.568,0.0,0.0,289.755,0.0,0.0,190.989,0.0
1,Electric Power,2002,0.0,12.504,0.27,8.112,35.753,54.805,0.0,0.0,323.47299999999996,0.0,0.0,212.028,0.0
1,Electric Power,2003,0.0,12.286000000000001,0.277,8.236,42.692,55.585,0.0,0.0,335.883,0.0,0.0,216.808,0.0
1,Electric Power,2004,0.0,12.795,0.261,11.302,41.997,54.846000000000004,0.0,0.0,346.07099999999997,0.0,0.0,224.871,0.0
1,Electric Power,2005,0.0,12.008,0.20500000000000002,12.484,47.145,52.927,0.0,0.0,356.396,0.0,0.0,231.62599999999998,0.0
1,Electric Power,2006,0.0,12.289000000000001,0.225,22.736,47.980000000000004,57.399,0.0,0.0,399.73,0.0,0.0,259.102,0.0
1,Electric Power,2007,0.0,12.359,0.275,27.362000000000002,49.399,56.729,0.0,0.0,378.967,0.0,0.0,232.844,0.0
1,Electric Power,2008,0.0,12.100999999999999,0.433,44.038,45.891,63.503,0.0,0.0,373.15,0.0,0.0,207.185,0.0
1,Electric Power,2009,0.0,12.818000000000001,0.395,64.494,46.442,63.476,0.0,0.0,401.22400000000005,0.0,0.0,213.6,0.0
1,Electric Power,2010,0.0,12.889,0.405,71.215,50.135,63.405,0.0,0.0,414.092,0.0,0.0,216.046,0.0
1,Electric Power,2011,0.0,13.305,0.8,100.773,47.747,60.723,0.0,0.0,497.33299999999997,0.0,0.0,273.985,0.0
1,Electric Power,2012,0.0,12.767,1.506,132.00400000000002,48.47,63.403999999999996,0.0,0.0,492.015,0.0,0.0,233.86200000000002,0.0
1,Electric Power,2013,0.0,13.635,4.48,151.989,49.402,63.888999999999996,0.0,0.0,504.42499999999995,0.0,0.0,221.03,0.0
1,Electric Power,2014,0.0,13.302,9.671,169.28,63.485,70.211,0.0,0.0,540.693,0.0,0.0,214.743,0.0
1,Electric Power,2015,0.0,13.702000000000002,15.8,154.724,63.662000000000006,65.53999999999999,0.0,0.0,553.43,0.0,0.0,240.00300000000001,0.0
1,Electric Power,2016,0.0,13.274000000000001,21.254,206.375,60.655,69.12,0.0,0.0,632.364,0.0,0.0,261.685,0.0
1,Electric Power,2017,0.0,13.761,32.345,233.918,59.866,71.352,0.0,0.0,683.1279999999999,0.0,0.0,271.88800000000003,0.0
1,Electric Power,2018,0.0,13.587,41.489000000000004,256.48,59.969,71.621,0.0,0.0,700.782,0.0,0.0,257.632,0.0
1,Electric Power,2019,0.0,13.574000000000002,44.986000000000004,247.76999999999998,51.692,62.397999999999996,0.0,0.0,671.671,0.0,0.0,251.252,0.0
1,Electric Power,2020,0.0,12.704,55.406000000000006,295.05899999999997,49.497,63.785,0.0,0.0,728.267,0.0,0.0,251.816,0.0
1,Electric Power,2021,0.0,12.882000000000001,71.821,327.226,51.294,58.881,0.0,0.0,745.918,0.0,0.0,223.816,0.0
1,Electric Power,2022,0.0,13.646,96.76599999999999,402.606,51.161,46.564,0.0,0.0,848.2669999999999,0.0,0.0,237.526,0.0
1,Electric Power,2023,0.0,14.466999999999999,99.584,429.521,43.771,43.275999999999996,0.0,0.0,838.235,0.0,0.0,207.619,0.0
1,Electric Power,2024,0.0,4.667,32.707,119.265,15.071,13.873,0.0,0.0,257.661,0.0,0.0,72.078,0.0
1,Industrial,1973,3.066,0.0,0.0,0.0,287.225,0.0,0.0,0.0,290.28999999999996,0.0,0.0,0.0,0.0
1,Industrial,1974,2.967,0.0,0.0,0.0,285.799,0.0,0.0,0.0,288.765,0.0,0.0,0.0,0.0
1,Industrial,1975,2.8739999999999997,0.0,0.0,0.0,262.17600000000004,0.0,0.0,0.0,265.05,0.0,0.0,0.0,0.0
1,Industrial,1976,2.9139999999999997,0.0,0.0,0.0,303.303,0.0,0.0,0.0,306.216,0.0,0.0,0.0,0.0
1,Industrial,1977,2.69,0.0,0.0,0.0,315.923,0.0,0.0,0.0,318.61400000000003,0.0,0.0,0.0,0.0
1,Industrial,1978,2.665,0.0,0.0,0.0,345.31,0.0,0.0,0.0,347.975,0.0,0.0,0.0,0.0
1,Industrial,1979,2.9,0.0,0.0,0.0,346.404,0.0,0.0,0.0,349.305,0.0,0.0,0.0,0.0
1,Industrial,1980,2.793,0.0,0.0,0.0,397.814,0.0,0.0,0.0,400.607,0.0,0.0,0.0,0.0
1,Industrial,1981,2.793,0.0,0.0,0.0,395.01300000000003,21.382,0.021,1.446,420.656,0.0,0.0,0.0,0.0
1,Industrial,1982,2.793,0.0,0.0,0.0,373.808,29.021,0.05,3.893,409.56399999999996,0.0,0.0,0.0,0.0
1,Industrial,1983,2.793,0.0,0.0,0.0,416.712,38.291,0.075,7.113,464.983,0.0,0.0,0.0,0.0
1,Industrial,1984,2.793,0.0,0.0,0.0,417.456,50.614000000000004,0.129,8.742,479.736,0.0,0.0,0.0,0.0
1,Industrial,1985,2.793,0.0,0.0,0.0,405.616,56.622,0.209,10.403,475.644,0.0,0.0,0.0,0.0
1,Industrial,1986,2.793,0.0,0.0,0.0,396.987,63.05,0.221,11.909,474.961,0.0,0.0,0.0,0.0
1,Industrial,1987,2.793,0.0,0.0,0.0,388.603,69.477,0.247,13.587,474.709,0.0,0.0,0.0,0.0
1,Industrial,1988,2.793,0.0,0.0,0.0,404.031,76.507,0.23199999999999998,13.788,497.351,0.0,0.0,0.0,0.0
1,Industrial,1989,2.178,0.444,0.003,0.0,406.971,46.016999999999996,0.244,13.758,469.613,0.0,0.0,0.0,0.0
1,Industrial,1990,2.723,0.46799999999999997,0.003,0.0,385.326,47.35,0.203,12.113,448.18600000000004,0.0,0.0,0.0,0.0
1,Industrial,1991,2.5860000000000003,0.517,0.003,0.0,350.527,45.444,0.247,13.921,413.246,0.0,0.0,0.0,0.0
1,Industrial,1992,2.575,0.546,0.003,0.0,362.158,44.758,0.28200000000000003,15.829,426.15099999999995,0.0,0.0,0.0,0.0
1,Industrial,1993,2.502,0.592,0.003,0.0,409.355,46.253,0.295,18.41,477.41,0.0,0.0,0.0,0.0
1,Industrial,1994,5.168,0.691,0.003,0.0,457.717,48.028999999999996,0.366,19.866,531.8399999999999,0.0,0.0,0.0,0.0
1,Industrial,1995,4.569,0.74,0.004,0.0,344.785,47.077,0.384,23.12,420.678,0.0,0.0,0.0,0.0
1,Industrial,1996,5.569,0.722,0.004,0.0,396.49199999999996,54.568,0.369,18.554,476.277,0.0,0.0,0.0,0.0
1,Industrial,1997,5.413,0.764,0.005,0.0,423.08,44.629999999999995,0.34099999999999997,19.038,493.271,0.0,0.0,0.0,0.0
1,Industrial,1998,5.1080000000000005,0.74,0.006,0.0,410.95899999999995,43.73,0.372,20.853,481.76800000000003,0.0,0.0,0.0,0.0
1,Industrial,1999,4.588,1.011,0.007,0.0,378.968,41.884,0.27,22.275,449.001,0.0,0.0,0.0,0.0
1,Industrial,2000,3.816,1.095,0.007,0.0,388.118,36.574,0.305,24.29,454.204,0.0,0.0,0.0,0.0
1,Industrial,2001,2.7560000000000002,1.173,0.01,0.0,360.863,31.968,0.6970000000000001,26.428,423.897,0.0,0.0,0.0,0.0
1,Industrial,2002,2.903,1.181,0.011,0.0,331.07,37.079,0.657,29.572000000000003,402.471,0.0,0.0,0.0,0.0
1,Industrial,2003,3.4859999999999998,0.839,0.013000000000000001,0.0,330.67,36.68,1.018,39.403999999999996,412.111,0.0,0.0,0.0,0.0
1,Industrial,2004,3.0010000000000003,0.9450000000000001,0.017,0.0,366.882,33.408,1.498,47.998999999999995,453.748,0.0,0.0,0.0,0.0
1,Industrial,2005,3.067,1.06,0.024,0.0,371.373,36.832,1.546,53.391999999999996,467.296,0.0,0.0,0.0,0.0
1,Industrial,2006,2.895,1.086,0.036,0.0,370.345,32.527,1.875,64.40899999999999,473.171,0.0,0.0,0.0,0.0
1,Industrial,2007,1.7109999999999999,1.159,0.05,0.0,349.703,42.106,2.241,81.515,478.485,0.0,0.0,0.0,0.0
1,Industrial,2008,1.6880000000000002,1.242,0.08,0.0,358.965,37.875,2.4619999999999997,114.94800000000001,517.264,0.0,0.0,0.0,0.0
1,Industrial,2009,1.712,1.036,0.108,0.0,283.77,39.934,2.77,134.042,463.37199999999996,0.0,0.0,0.0,0.0
1,Industrial,2010,1.7730000000000001,1.036,0.165,0.0,345.128,42.236000000000004,3.8099999999999996,174.18599999999998,568.333,0.0,0.0,0.0,0.0
1,Industrial,2011,1.671,1.036,0.272,0.003,359.1,42.24,4.006,186.49099999999999,594.817,0.0,0.0,0.0,0.0
1,Industrial,2012,2.556,1.045,0.454,0.02,363.376,40.104,4.013999999999999,188.034,599.604,0.0,0.0,0.0,0.0
1,Industrial,2013,3.374,1.036,0.609,0.027,367.44100000000003,45.483999999999995,4.079000000000001,164.111,586.162,0.0,0.0,0.0,0.0
1,Industrial,2014,1.153,1.036,0.76,0.056999999999999995,368.911,48.345,3.327,183.277,606.865,0.0,0.0,0.0,0.0
1,Industrial,2015,1.214,1.036,0.983,0.049,367.61,47.739999999999995,4.152,192.736,615.521,0.0,0.0,0.0,0.0
1,Industrial,2016,1.321,1.045,1.413,0.077,366.708,45.355000000000004,4.3309999999999995,201.45999999999998,621.711,0.0,0.0,0.0,0.0
1,Industrial,2017,1.2690000000000001,1.036,1.58,0.083,357.012,43.947,4.317,210.81400000000002,620.057,0.0,0.0,0.0,0.0
1,Industrial,2018,0.8859999999999999,1.036,1.814,0.10400000000000001,355.69,43.42,4.46,211.166,618.575,0.0,0.0,0.0,0.0
1,Industrial,2019,1.109,1.036,2.1,0.101,355.038,40.627,4.425,202.225,606.6610000000001,0.0,0.0,0.0,0.0
1,Industrial,2020,1.137,1.045,2.432,0.088,350.865,41.628,4.881,206.72,608.795,0.0,0.0,0.0,0.0
1,Industrial,2021,0.856,1.036,2.726,0.107,336.03999999999996,41.569,4.147,178.946,565.428,0.0,0.0,0.0,0.0
1,Industrial,2022,0.921,1.036,2.972,0.14,326.836,41.86,4.676,203.113,581.552,0.0,0.0,0.0,0.0
1,Industrial,2023,0.862,1.036,3.217,0.128,318.13599999999997,41.452999999999996,4.8,198.758,568.389,0.0,0.0,0.0,0.0
1,Industrial,2024,0.308,0.356,0.987,0.035,104.878,14.171,1.533,67.742,190.011,0.0,0.0,0.0,0.0
1,Residential,1973,0.0,0.0,0.0,0.0,87.31200000000001,0.0,0.0,0.0,87.31200000000001,0.0,0.0,0.0,0.0
1,Residential,1974,0.0,0.0,0.0,0.0,91.469,0.0,0.0,0.0,91.469,0.0,0.0,0.0,0.0
1,Residential,1975,0.0,0.0,0.0,0.0,104.896,0.0,0.0,0.0,104.896,0.0,0.0,0.0,0.0
1,Residential,1976,0.0,0.0,0.0,0.0,119.75,0.0,0.0,0.0,119.75,0.0,0.0,0.0,0.0
1,Residential,1977,0.0,0.0,0.0,0.0,133.589,0.0,0.0,0.0,133.589,0.0,0.0,0.0,0.0
1,Residential,1978,0.0,0.0,0.0,0.0,153.333,0.0,0.0,0.0,153.333,0.0,0.0,0.0,0.0
1,Residential,1979,0.0,0.0,0.0,0.0,179.526,0.0,0.0,0.0,179.526,0.0,0.0,0.0,0.0
1,Residential,1980,0.0,0.0,0.0,0.0,211.34,0.0,0.0,0.0,211.34,0.0,0.0,0.0,0.0
1,Residential,1981,0.0,0.0,0.0,0.0,214.51999999999998,0.0,0.0,0.0,214.51999999999998,0.0,0.0,0.0,0.0
1,Residential,1982,0.0,0.0,0.0,0.0,239.179,0.0,0.0,0.0,239.179,0.0,0.0,0.0,0.0
1,Residential,1983,0.0,0.0,0.0,0.0,239.179,0.0,0.0,0.0,239.179,0.0,0.0,0.0,0.0
1,Residential,1984,0.0,0.0,0.0,0.0,243.66,0.0,0.0,0.0,243.66,0.0,0.0,0.0,0.0
1,Residential,1985,0.0,0.0,0.0,0.0,249.041,0.0,0.0,0.0,249.041,0.0,0.0,0.0,0.0
1,Residential,1986,0.0,0.0,0.0,0.0,226.849,0.0,0.0,0.0,226.849,0.0,0.0,0.0,0.0
1,Residential,1987,0.0,0.0,0.0,0.0,209.589,0.0,0.0,0.0,209.589,0.0,0.0,0.0,0.0
1,Residential,1988,0.0,0.0,0.0,0.0,226.25799999999998,0.0,0.0,0.0,226.25799999999998,0.0,0.0,0.0,0.0
1,Residential,1989,0.0,1.234,9.956,0.0,226.849,0.0,0.0,0.0,238.039,0.0,0.0,0.0,0.0
1,Residential,1990,0.0,1.356,10.548,0.0,143.013,0.0,0.0,0.0,154.918,0.0,0.0,0.0,0.0
1,Residential,1991,0.0,1.455,10.878,0.0,150.411,0.0,0.0,0.0,162.744,0.0,0.0,0.0,0.0
1,Residential,1992,0.0,1.5910000000000002,11.268,0.0,159.126,0.0,0.0,0.0,171.98399999999998,0.0,0.0,0.0,0.0
1,Residential,1993,0.0,1.678,11.584999999999999,0.0,135.616,0.0,0.0,0.0,148.878,0.0,0.0,0.0,0.0
1,Residential,1994,0.0,1.53,11.9,0.0,128.21800000000002,0.0,0.0,0.0,141.648,0.0,0.0,0.0,0.0
1,Residential,1995,0.0,1.6280000000000001,12.081,0.0,128.21800000000002,0.0,0.0,0.0,141.92700000000002,0.0,0.0,0.0,0.0
1,Residential,1996,0.0,1.741,12.187999999999999,0.0,134.263,0.0,0.0,0.0,148.191,0.0,0.0,0.0,0.0
1,Residential,1997,0.0,1.849,12.022,0.0,106.02799999999999,0.0,0.0,0.0,119.899,0.0,0.0,0.0,0.0
1,Residential,1998,0.0,1.899,11.886,0.0,93.699,0.0,0.0,0.0,107.483,0.0,0.0,0.0,0.0
1,Residential,1999,0.0,2.096,11.606,0.0,96.16399999999999,0.0,0.0,0.0,109.866,0.0,0.0,0.0,0.0
1,Residential,2000,0.0,2.137,11.088000000000001,0.0,104.42699999999999,0.0,0.0,0.0,117.65299999999999,0.0,0.0,0.0,0.0
1,Residential,2001,0.0,2.331,10.587,0.0,91.23400000000001,0.0,0.0,0.0,104.149,0.0,0.0,0.0,0.0
1,Residential,2002,0.0,2.517,10.215,0.0,93.699,0.0,0.0,0.0,106.429,0.0,0.0,0.0,0.0
1,Residential,2003,0.0,3.205,9.917,0.0,98.631,0.0,0.0,0.0,111.75200000000001,0.0,0.0,0.0,0.0
1,Residential,2004,0.0,3.481,9.767,0.0,101.94,0.0,0.0,0.0,115.188,0.0,0.0,0.0,0.0
1,Residential,2005,0.0,3.92,9.529,0.0,106.02799999999999,0.0,0.0,0.0,119.477,0.0,0.0,0.0,0.0
1,Residential,2006,0.0,4.5120000000000005,9.913,0.0,93.699,0.0,0.0,0.0,108.12299999999999,0.0,0.0,0.0,0.0
1,Residential,2007,0.0,5.424,10.314,0.0,103.561,0.0,0.0,0.0,119.3,0.0,0.0,0.0,0.0
1,Residential,2008,0.0,6.564,10.782,0.0,116.858,0.0,0.0,0.0,134.204,0.0,0.0,0.0,0.0
1,Residential,2009,0.0,8.088000000000001,10.887,0.0,124.273,0.0,0.0,0.0,143.249,0.0,0.0,0.0,0.0
1,Residential,2010,0.0,9.073,11.391,0.0,133.281,0.0,0.0,0.0,153.745,0.0,0.0,0.0,0.0
1,Residential,2011,0.0,9.764,12.012,0.0,129.269,0.0,0.0,0.0,151.048,0.0,0.0,0.0,0.0
1,Residential,2012,0.0,9.846,12.793,0.0,108.924,0.0,0.0,0.0,131.564,0.0,0.0,0.0,0.0
1,Residential,2013,0.0,9.764,13.841999999999999,0.0,140.955,0.0,0.0,0.0,164.561,0.0,0.0,0.0,0.0
1,Residential,2014,0.0,9.764,15.331,0.0,142.65300000000002,0.0,0.0,0.0,167.749,0.0,0.0,0.0,0.0
1,Residential,2015,0.0,9.764,16.276,0.0,126.42699999999999,0.0,0.0,0.0,152.469,0.0,0.0,0.0,0.0
1,Residential,2016,0.0,9.846,19.096,0.0,110.553,0.0,0.0,0.0,139.495,0.0,0.0,0.0,0.0
1,Residential,2017,0.0,9.764,21.466,0.0,105.924,0.0,0.0,0.0,137.154,0.0,0.0,0.0,0.0
1,Residential,2018,0.0,9.764,24.15,0.0,129.417,0.0,0.0,0.0,163.332,0.0,0.0,0.0,0.0
1,Residential,2019,0.0,9.764,26.570999999999998,0.0,134.50900000000001,0.0,0.0,0.0,170.844,0.0,0.0,0.0,0.0
1,Residential,2020,0.0,9.846,30.246,0.0,85.801,0.0,0.0,0.0,125.893,0.0,0.0,0.0,0.0
1,Residential,2021,0.0,9.764,33.637,0.0,84.852,0.0,0.0,0.0,128.253,0.0,0.0,0.0,0.0
1,Residential,2022,0.0,9.764,39.349,0.0,104.17399999999999,0.0,0.0,0.0,153.287,0.0,0.0,0.0,0.0
1,Residential,2023,0.0,9.764,45.211,0.0,111.039,0.0,0.0,0.0,166.014,0.0,0.0,0.0,0.0
1,Residential,2024,0.0,3.354,14.897,0.0,34.065,0.0,0.0,0.0,52.316,0.0,0.0,0.0,0.0
